measurementDeterminedBy,traitName,traitValue,traitUnit,verbatimTraitName,original_archive
Allen,Stem_width,2.75,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,2.5,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,2.5,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,2.7,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,3.7,cm,Stemdi,CALYPT.csv
Henderson,Stem_width,2.8,cm,Stemdi,CALYPT.csv
Henderson,Stem_width,2,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,2.2,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,2.7,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,2.7,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,2.5,cm,Stemdi,CALYPT.csv
Mabberley,Stem_width,3,cm,Stemdi,CALYPT.csv
Bernal,Stem_width,3.6,cm,Stemdi,CALYPT.csv
Bunting,Stem_width,2.5,cm,Stemdi,CALYPT.csv
Yuncker,Stem_width,3,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,7,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,4.5,cm,Stemdi,CALYPT.csv
Knudsen,Stem_width,3.5,cm,Stemdi,CALYPT.csv
Knudsen,Stem_width,3.5,cm,Stemdi,CALYPT.csv
Churchill,Stem_width,5,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,4.5,cm,Stemdi,CALYPT.csv
Henderson,Stem_width,2,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,5,cm,Stemdi,CALYPT.csv
de Nevers,Stem_width,6,cm,Stemdi,CALYPT.csv
Allen,Petiole_length,41.5,cm,Shpele,CALYPT.csv
Allen,Petiole_length,39.5,cm,Shpele,CALYPT.csv
Croat,Petiole_length,26.8,cm,Shpele,CALYPT.csv
de Nevers,Petiole_length,39,cm,Shpele,CALYPT.csv
de Nevers,Petiole_length,39,cm,Shpele,CALYPT.csv
Bartlett,Petiole_length,30,cm,Shpele,CALYPT.csv
Croat,Petiole_length,15.8,cm,Shpele,CALYPT.csv
Mori,Petiole_length,40.7,cm,Shpele,CALYPT.csv
de Nevers,Petiole_length,34.5,cm,Shpele,CALYPT.csv
de Nevers,Petiole_length,37.5,cm,Shpele,CALYPT.csv
de Nevers,Petiole_length,37.3,cm,Shpele,CALYPT.csv
